version_id,timestamp,trigger_class,corrections_used,old_temperature,new_temperature,corrections_id_list
v1.0,2026-09-13T16:32:13.410295+00:00,baseline_test_cohort,2414,1.0000,2.0914,baseline_held_out_set
v1.1,2026-09-13T16:33:22.241788+00:00,glioma,20,2.0914,2.0846,sim-recal-0;sim-recal-1;sim-recal-2;sim-recal-3;sim-recal-4;sim-recal-5;sim-recal-6;sim-recal-7;sim-recal-8;sim-recal-9;sim-recal-10;sim-recal-11;sim-recal-12;sim-recal-13;sim-recal-14;sim-recal-15;sim-recal-16;sim-recal-17;sim-recal-18;sim-recal-19
